Estación,Longitud,Latitud
411,-99.163626,19.367864
412,-99.1654145,19.3684182
413,-99.171906,19.369782
414,-99.173712,19.370187
415,-99.17602,19.371498
416,-99.177607,19.371308
417,-99.184333,19.373262
418,-99.183034,19.371152
419,-99.181502,19.370606
420,-99.17964,19.369723
421,-99.179401,19.369467
422,-99.177487,19.368356
423,-99.175342,19.367631
424,-99.170531,19.367208
425,-99.16741,19.367087
426,-99.166017,19.365519
427,-99.162993,19.365023
428,-99.160353,19.363418
429,-99.158292,19.363071
430,-99.154974,19.362139
431,-99.15822,19.36145
432,-99.162581,19.361296
433,-99.170819,19.363558
434,-99.171498,19.363776
435,-99.172906,19.365154
436,-99.177819,19.366217
437,-99.17602222,19.36480833
438,-99.17458333,19.36479722
439,-99.17246667,19.36218889
440,-99.168669,19.36065
441,-99.167527,19.361215
442,-99.1653,19.359905
443,-99.162025,19.359655
444,-99.159425,19.359384
445,-99.156105,19.35827
446,-99.1561282,19.3591196
447,-99.176776,19.418858
448,-99.14447,19.426611
449,-99.174393,19.42018
450,-99.152226,19.43836
451,-99.201322,19.42902
452,-99.179838,19.435031
