Estación,Longitud,Latitud,Cluster
338,-99.163273,19.384249,5
339,-99.160548,19.386032,5
340,-99.158188,19.385571,5
341,-99.158204,19.382851,5
342,-99.159455,19.381076,5
343,-99.160826,19.384099,5
344,-99.162243,19.382107,5
345,-99.172223,19.384498,3
346,-99.174077,19.385019,3
347,-99.176097,19.384378,3
348,-99.178216,19.385365,3
349,-99.180857,19.385688,3
350,-99.181482,19.384062,8
351,-99.186297,19.385751,8
352,-99.185447,19.384114,8
353,-99.178808,19.382168,8
354,-99.176685,19.381665,8
355,-99.173291,19.38205,3
356,-99.170171,19.381292,3
357,-99.1669248,19.380598,5
358,-99.164222,19.380168,5
359,-99.161169,19.379269,5
360,-99.1628259,19.3790279,5
361,-99.1762233,19.3804457,8
362,-99.181043,19.382207,8
363,-99.183851,19.380813,8
364,-99.185858,19.383063,8
365,-99.186687,19.381117,8
366,-99.181973,19.378345,8
367,-99.181632,19.37946,8
368,-99.179344,19.379246,8
369,-99.177478,19.379884,8
370,-99.177054,19.378818,8
371,-99.174328,19.378542,8
372,-99.170289,19.37797,8
373,-99.166663,19.377968,2
374,-99.161116,19.376964,2
375,-99.158818,19.376865,2
376,-99.161595,19.375442,2
377,-99.16375,19.375394,2
378,-99.168076,19.375823,2
379,-99.17084,19.375751,8
380,-99.173512,19.374876,8
381,-99.177894,19.375541,8
382,-99.178084,19.375591,8
383,-99.181527,19.375764,8
384,-99.185583,19.375873,8
385,-99.18558,19.375651,8
386,-99.185846,19.37484,8
387,-99.18050556,19.37455556,8
388,-99.181355,19.373038,8
389,-99.179356,19.373528,8
390,-99.17826,19.373228,8
391,-99.178283,19.373142,8
392,-99.1747749,19.3730067,8
393,-99.172558,19.372796,8
394,-99.171592,19.372437,8
395,-99.169814,19.373742,2
396,-99.170187,19.371554,2
397,-99.167247,19.373194,2
398,-99.16566,19.37103,2
399,-99.164519,19.372407,2
400,-99.1642743,19.3726458,2
401,-99.16158,19.372147,2
402,-99.1587223,19.3709452,2
403,-99.158639,19.371371,2
404,-99.157387,19.373813,2
405,-99.156626,19.370619,2
406,-99.163261,19.367831,2
407,-99.158694,19.367294,2
408,-99.156843,19.36677,2
409,-99.155499,19.365102,2
410,-99.158063,19.36564,2
411,-99.163626,19.367864,2
412,-99.1654145,19.3684182,2
413,-99.171906,19.369782,8
414,-99.173712,19.370187,8
415,-99.17602,19.371498,8
416,-99.177607,19.371308,8
417,-99.184333,19.373262,8
418,-99.183034,19.371152,8
419,-99.181502,19.370606,8
420,-99.17964,19.369723,8
421,-99.179401,19.369467,8
422,-99.177487,19.368356,8
423,-99.175342,19.367631,8
424,-99.170531,19.367208,2
425,-99.16741,19.367087,2
426,-99.166017,19.365519,2
427,-99.162993,19.365023,2
428,-99.160353,19.363418,2
429,-99.158292,19.363071,2
430,-99.154974,19.362139,2
431,-99.15822,19.36145,2
432,-99.162581,19.361296,2
433,-99.170819,19.363558,2
434,-99.171498,19.363776,2
435,-99.172906,19.365154,8
436,-99.177819,19.366217,8
437,-99.17602222,19.36480833,8
438,-99.17458333,19.36479722,8
439,-99.17246667,19.36218889,2
440,-99.168669,19.36065,2
441,-99.167527,19.361215,2
442,-99.1653,19.359905,2
443,-99.162025,19.359655,2
444,-99.159425,19.359384,2
445,-99.156105,19.35827,2
446,-99.1561282,19.3591196,2
447,-99.176776,19.418858,4
448,-99.14447,19.426611,10
449,-99.174393,19.42018,4
450,-99.152226,19.43836,13
451,-99.201322,19.42902,14
452,-99.179838,19.435031,11
