Estación,Longitud,Latitud,Cluster
347,-99.176097,19.384378,9
348,-99.178216,19.385365,9
349,-99.180857,19.385688,9
350,-99.181482,19.384062,9
351,-99.186297,19.385751,9
352,-99.185447,19.384114,9
353,-99.178808,19.382168,9
354,-99.176685,19.381665,4
355,-99.173291,19.38205,4
356,-99.170171,19.381292,4
357,-99.1669248,19.380598,1
358,-99.164222,19.380168,1
359,-99.161169,19.379269,1
360,-99.1628259,19.3790279,1
361,-99.1762233,19.3804457,4
362,-99.181043,19.382207,9
363,-99.183851,19.380813,9
364,-99.185858,19.383063,9
365,-99.186687,19.381117,9
366,-99.181973,19.378345,4
367,-99.181632,19.37946,4
368,-99.179344,19.379246,4
369,-99.177478,19.379884,4
370,-99.177054,19.378818,4
371,-99.174328,19.378542,4
372,-99.170289,19.37797,4
373,-99.166663,19.377968,8
374,-99.161116,19.376964,8
375,-99.158818,19.376865,8
376,-99.161595,19.375442,8
377,-99.16375,19.375394,8
378,-99.168076,19.375823,8
379,-99.17084,19.375751,4
380,-99.173512,19.374876,4
381,-99.177894,19.375541,4
382,-99.178084,19.375591,4
383,-99.181527,19.375764,4
384,-99.185583,19.375873,4
385,-99.18558,19.375651,4
386,-99.185846,19.37484,4
387,-99.18050556,19.37455556,4
388,-99.181355,19.373038,4
389,-99.179356,19.373528,4
390,-99.17826,19.373228,4
391,-99.178283,19.373142,4
392,-99.1747749,19.3730067,4
393,-99.172558,19.372796,4
394,-99.171592,19.372437,4
395,-99.169814,19.373742,4
396,-99.170187,19.371554,4
397,-99.167247,19.373194,8
398,-99.16566,19.37103,8
399,-99.164519,19.372407,8
400,-99.1642743,19.3726458,8
401,-99.16158,19.372147,8
402,-99.1587223,19.3709452,8
403,-99.158639,19.371371,8
404,-99.157387,19.373813,8
405,-99.156626,19.370619,8
406,-99.163261,19.367831,8
407,-99.158694,19.367294,8
408,-99.156843,19.36677,8
409,-99.155499,19.365102,8
410,-99.158063,19.36564,8
411,-99.163626,19.367864,8
412,-99.1654145,19.3684182,8
413,-99.171906,19.369782,4
414,-99.173712,19.370187,4
415,-99.17602,19.371498,4
416,-99.177607,19.371308,4
417,-99.184333,19.373262,4
418,-99.183034,19.371152,4
419,-99.181502,19.370606,4
420,-99.17964,19.369723,4
421,-99.179401,19.369467,4
422,-99.177487,19.368356,4
423,-99.175342,19.367631,4
424,-99.170531,19.367208,4
425,-99.16741,19.367087,8
426,-99.166017,19.365519,8
427,-99.162993,19.365023,8
428,-99.160353,19.363418,8
429,-99.158292,19.363071,8
430,-99.154974,19.362139,8
