Estación,Longitud,Latitud,Cluster
280,-99.156406,19.4015,1
281,-99.157308,19.398532,2
282,-99.161273,19.398692,2
283,-99.167383,19.39827,2
284,-99.172981,19.397693,2
285,-99.177524,19.399688,2
286,-99.179943,19.399201,2
287,-99.183254,19.398946,2
288,-99.183575,19.396333,2
289,-99.174548,19.397308,2
290,-99.172667,19.396333,2
291,-99.169946,19.397651,1
292,-99.166264,19.396917,1
293,-99.164598,19.397373,2
294,-99.160924,19.396513,2
295,-99.156871,19.396328,1
296,-99.158756,19.394283,2
297,-99.158907,19.394412,2
298,-99.16214,19.394073,2
299,-99.165054,19.394601,2
300,-99.168333,19.393268,2
301,-99.171133,19.393807,1
302,-99.171466,19.393832,1
303,-99.173025,19.394842,1
304,-99.173821,19.395043,2
305,-99.175531,19.394693,1
306,-99.175664,19.393699,2
307,-99.175834,19.393701,2
308,-99.178072,19.393594,2
309,-99.17956,19.393162,2
310,-99.181733,19.395319,1
311,-99.185391,19.393665,2
312,-99.183737,19.392634,2
313,-99.178989,19.391431,2
314,-99.177331,19.391647,2
315,-99.1736,19.391472,2
316,-99.1712,19.391056,2
317,-99.166157,19.391456,1
318,-99.164127,19.392249,2
319,-99.162684,19.391991,2
320,-99.15936,19.391323,2
321,-99.157513,19.389477,1
322,-99.160616,19.388528,2
323,-99.163403,19.389026,2
324,-99.1656554,19.3872468,2
325,-99.1696894,19.3881779,2
326,-99.174811,19.388978,1
327,-99.17772,19.38885,1
328,-99.184742,19.392586,2
329,-99.184812,19.390306,2
330,-99.182606,19.389358,2
331,-99.183971,19.388547,2
332,-99.183809,19.385508,2
333,-99.180978,19.387624,2
334,-99.175089,19.386568,2
335,-99.173504,19.387003,2
336,-99.169673,19.385531,2
337,-99.16704,19.384849,2
338,-99.163273,19.384249,2
339,-99.160548,19.386032,2
340,-99.158188,19.385571,1
341,-99.158204,19.382851,2
342,-99.159455,19.381076,2
343,-99.160826,19.384099,2
344,-99.162243,19.382107,2
345,-99.172223,19.384498,2
346,-99.174077,19.385019,2
347,-99.176097,19.384378,2
348,-99.178216,19.385365,2
349,-99.180857,19.385688,2
350,-99.181482,19.384062,2
351,-99.186297,19.385751,2
352,-99.185447,19.384114,2
353,-99.178808,19.382168,2
354,-99.176685,19.381665,2
355,-99.173291,19.38205,2
356,-99.170171,19.381292,1
357,-99.1669248,19.380598,2
358,-99.164222,19.380168,2
359,-99.161169,19.379269,1
360,-99.1628259,19.3790279,2
361,-99.1762233,19.3804457,2
362,-99.181043,19.382207,2
363,-99.183851,19.380813,2
364,-99.185858,19.383063,2
365,-99.186687,19.381117,2
366,-99.181973,19.378345,2
367,-99.181632,19.37946,2
368,-99.179344,19.379246,2
369,-99.177478,19.379884,2
370,-99.177054,19.378818,2
371,-99.174328,19.378542,2
372,-99.170289,19.37797,1
373,-99.166663,19.377968,2
374,-99.161116,19.376964,2
375,-99.158818,19.376865,2
376,-99.161595,19.375442,2
377,-99.16375,19.375394,2
378,-99.168076,19.375823,2
379,-99.17084,19.375751,2
380,-99.173512,19.374876,2
381,-99.177894,19.375541,2
382,-99.178084,19.375591,2
383,-99.181527,19.375764,2
384,-99.185583,19.375873,2
385,-99.18558,19.375651,1
386,-99.185846,19.37484,2
387,-99.18050556,19.37455556,2
388,-99.181355,19.373038,2
389,-99.179356,19.373528,2
390,-99.17826,19.373228,1
391,-99.178283,19.373142,2
392,-99.1747749,19.3730067,1
393,-99.172558,19.372796,2
394,-99.171592,19.372437,2
395,-99.169814,19.373742,2
396,-99.170187,19.371554,1
397,-99.167247,19.373194,2
398,-99.16566,19.37103,1
399,-99.164519,19.372407,2
400,-99.1642743,19.3726458,2
401,-99.16158,19.372147,2
402,-99.1587223,19.3709452,2
403,-99.158639,19.371371,2
404,-99.157387,19.373813,2
405,-99.156626,19.370619,2
406,-99.163261,19.367831,2
407,-99.158694,19.367294,2
408,-99.156843,19.36677,2
409,-99.155499,19.365102,2
410,-99.158063,19.36564,2
411,-99.163626,19.367864,2
412,-99.1654145,19.3684182,2
413,-99.171906,19.369782,2
414,-99.173712,19.370187,2
415,-99.17602,19.371498,2
416,-99.177607,19.371308,2
417,-99.184333,19.373262,2
418,-99.183034,19.371152,2
419,-99.181502,19.370606,2
420,-99.17964,19.369723,2
421,-99.179401,19.369467,2
422,-99.177487,19.368356,2
423,-99.175342,19.367631,2
424,-99.170531,19.367208,2
425,-99.16741,19.367087,2
426,-99.166017,19.365519,2
427,-99.162993,19.365023,2
428,-99.160353,19.363418,2
429,-99.158292,19.363071,2
430,-99.154974,19.362139,2
431,-99.15822,19.36145,2
432,-99.162581,19.361296,2
433,-99.170819,19.363558,2
434,-99.171498,19.363776,2
435,-99.172906,19.365154,2
436,-99.177819,19.366217,2
437,-99.17602222,19.36480833,2
438,-99.17458333,19.36479722,2
439,-99.17246667,19.36218889,2
440,-99.168669,19.36065,2
441,-99.167527,19.361215,2
442,-99.1653,19.359905,2
443,-99.162025,19.359655,2
444,-99.159425,19.359384,2
445,-99.156105,19.35827,2
446,-99.1561282,19.3591196,2
447,-99.176776,19.418858,2
448,-99.14447,19.426611,2
449,-99.174393,19.42018,1
450,-99.152226,19.43836,2
451,-99.201322,19.42902,2
452,-99.179838,19.435031,1
453,-99.16594553,19.43508814,3
454,-99.16353866,19.4346349,3
455,-99.16512098,19.4343065,3
456,-99.16512949,19.43503658,3
457,-99.16455239,19.43438567,3
458,-99.16599411,19.4349865,3
459,-99.16550078,19.43507172,3
460,-99.16280971,19.43451183,3
461,-99.17018271,19.43301405,3
462,-99.16984386,19.43240044,3
463,-99.16758991,19.43252369,3
464,-99.15535841,19.43350636,3
465,-99.15272911,19.43333904,3
466,-99.15583712,19.43314224,3
467,-99.15595537,19.43364718,3
468,-99.15490175,19.43361145,3
469,-99.15362006,19.43317717,3
470,-99.15508533,19.43310054,3
471,-99.15370824,19.43309402,3
472,-99.15406799,19.43348188,3
473,-99.15489681,19.43326763,3
474,-99.15533106,19.43354485,3
475,-99.16776,19.42957163,3
476,-99.17019733,19.42971108,3
477,-99.16753563,19.43005975,3
478,-99.16682089,19.4297128,3
479,-99.16387704,19.43101984,3
480,-99.16586866,19.43073898,3
481,-99.16764314,19.43073773,3
482,-99.16426108,19.43291768,3
483,-99.16476299,19.43240485,3
484,-99.1645103,19.43287798,3
485,-99.16431528,19.43202007,3
486,-99.17355216,19.42742195,3
487,-99.17076872,19.42722789,3
488,-99.17153619,19.42729262,3
489,-99.17108907,19.42683189,3
490,-99.1724034,19.42686072,3
491,-99.16919634,19.42730575,3
492,-99.17112196,19.42719568,3
493,-99.1543513,19.43268766,3
494,-99.15293069,19.43288824,3
495,-99.15568096,19.43267885,3
496,-99.1680411,19.4297336,3
497,-99.16600406,19.42907401,3
498,-99.16717043,19.42948035,3
499,-99.1659016,19.42965609,3
500,-99.1666958,19.42930148,3
501,-99.16408088,19.42949947,3
502,-99.16462405,19.42976992,3
503,-99.1504775,19.43518167,3
504,-99.14934497,19.43442988,3
505,-99.14961355,19.43435947,3
506,-99.15301419,19.43511639,3
507,-99.15207618,19.43518875,3
508,-99.15198095,19.43438426,3
509,-99.15138482,19.43497825,3
510,-99.15198348,19.43514582,3
511,-99.15060128,19.43510313,3
512,-99.15058725,19.43482561,3
513,-99.14974272,19.43462751,3
514,-99.161844,19.43264704,3
515,-99.16164276,19.43279898,3
516,-99.15896094,19.43206782,3
517,-99.16008342,19.43266866,3
518,-99.15836526,19.43357884,3
519,-99.1590668,19.43420178,3
520,-99.1598489,19.4339023,3
521,-99.15612476,19.43412984,3
522,-99.17283949,19.42530977,3
523,-99.17206537,19.42517181,3
524,-99.17055108,19.42530328,3
525,-99.17152582,19.42491616,3
526,-99.17402176,19.4253105,3
527,-99.17078693,19.42496185,3
528,-99.16994624,19.42492743,3
529,-99.17294166,19.42527114,3
530,-99.17164834,19.42550768,3
531,-99.17059879,19.42488299,3
532,-99.17070283,19.42571451,3
533,-99.16869653,19.42648732,3
534,-99.16902487,19.42590215,3
535,-99.1681382,19.42667528,3
536,-99.16862286,19.42660658,3
537,-99.16774099,19.42639976,3
538,-99.17108222,19.42631938,3
539,-99.16795389,19.42673391,3
540,-99.16809578,19.42623214,3
541,-99.16776149,19.42603163,3
542,-99.169875,19.42629005,3
543,-99.16969253,19.4260389,3
544,-99.16827003,19.42709397,3
545,-99.16827216,19.42734678,3
546,-99.16576905,19.42737452,3
